E055	E056	E059	E061	E057	E058	E028	E027	E104	E095	E105	E065	E085	E084	E109	E106	E079	E094	gene_id	gene_name
Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	ENSG00000007968	E2F2
High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	High	Low	High	Low	Low	ENSG00000008300	CELSR3
High	Low	Low	High	Low	Low	Low	High	High	High	High	Low	Low	High	Low	Low	High	Low	ENSG00000008311	AASS
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000008323	PLEKHG6
High	High	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000008394	MGST1
High	High	High	High	High	Low	High	High	High	High	High	High	Low	Low	Low	High	High	High	ENSG00000008513	ST3GAL1
Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	High	High	Low	High	Low	High	ENSG00000008516	MMP25
Low	High	Low	Low	High	Low	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000008517	IL32
Low	Low	High	High	High	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	Low	ENSG00000008735	MAPK8IP2
High	Low	Low	High	Low	High	High	High	High	High	High	Low	High	High	Low	Low	High	Low	ENSG00000008869	HEATR5B
High	High	Low	High	Low	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000009413	REV3L
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000009765	IYD
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	Low	High	Low	Low	ENSG00000009790	TRAF3IP3
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	Low	Low	ENSG00000009950	MLXIPL
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000010219	DYRK4
High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000010295	IFFO1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	High	ENSG00000010319	SEMA3G
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000010327	STAB1
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000010438	PRSS3
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000010610	CD4
Low	High	High	High	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000010626	LRRC23
High	High	High	High	High	High	Low	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000010803	SCMH1
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000010810	FYN
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000010818	HIVEP2
High	High	High	Low	High	High	High	Low	High	High	High	High	Low	High	High	Low	High	High	ENSG00000011028	MRC2
Low	High	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000011105	TSPAN9
Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	Low	Low	High	Low	ENSG00000011258	MBTD1
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	ENSG00000011275	RNF216
High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000011332	DPF1
High	Low	Low	Low	High	Low	High	Low	High	High	High	Low	High	Low	Low	High	Low	Low	ENSG00000011347	SYT7
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000011376	LARS2
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	ENSG00000011426	ANLN
High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000011465	DCN
High	Low	Low	Low	Low	Low	High	High	High	Low	High	High	Low	Low	Low	Low	Low	High	ENSG00000011566	MAP4K3
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000011600	TYROBP
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000012048	BRCA1
High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	High	Low	High	High	ENSG00000012232	EXTL3
High	High	Low	High	High	High	High	High	Low	Low	Low	High	Low	High	Low	Low	High	Low	ENSG00000012983	MAP4K5
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000013016	EHD3
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000013619	MAMLD1
High	High	High	High	High	High	Low	High	Low	Low	High	Low	High	Low	High	High	High	High	ENSG00000014138	POLA2
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000014164	ZC3H3
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	Low	ENSG00000015133	CCDC88C
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000015153	YAF2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	High	High	Low	High	ENSG00000015285	WAS
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000015413	DPEP1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000015520	NPC1L1
Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	Low	Low	High	Low	ENSG00000015568	RGPD5
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	ENSG00000016082	ISL1
Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	High	High	High	High	Low	High	ENSG00000016391	CHDH
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000016490	CLCA1
High	Low	Low	High	Low	High	High	High	High	High	High	Low	High	High	Low	Low	High	Low	ENSG00000018189	RUFY3
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000018280	SLC11A1
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000018408	WWTR1
Low	Low	High	High	Low	High	High	High	Low	High	High	High	High	Low	High	High	Low	High	ENSG00000018510	AGPS
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	High	High	High	Low	ENSG00000018625	ATP1A2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	High	High	ENSG00000019102	VSIG2
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000019505	SYT13
Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000019582	CD74
High	High	High	High	Low	Low	Low	Low	High	High	High	Low	High	High	High	High	High	High	ENSG00000020181	ADGRA2
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000020256	ZFP64
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000020577	SAMD4A
Low	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	ENSG00000020633	RUNX3
Low	Low	High	High	Low	Low	Low	Low	High	Low	Low	High	Low	Low	High	High	Low	High	ENSG00000021300	PLEKHB1
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	Low	Low	Low	High	ENSG00000021776	AQR
Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	ENSG00000021826	CPS1
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	ENSG00000022556	NLRP2
Low	Low	Low	Low	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000022567	SLC45A4
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	High	High	High	Low	Low	Low	ENSG00000023171	GRAMD1B
High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000023287	RB1CC1
Low	Low	Low	Low	High	High	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000023445	BIRC3
High	High	Low	Low	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000023608	SNAPC1
High	High	High	High	Low	High	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	High	ENSG00000023697	DERA
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000023839	ABCC2
Low	Low	High	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000023892	DEF6
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000024526	DEPDC1
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	High	High	Low	Low	High	Low	ENSG00000025039	RRAGD
High	High	Low	High	Low	High	High	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000025293	PHF20
High	High	Low	High	High	High	High	High	High	Low	High	High	Low	Low	High	High	High	High	ENSG00000026103	FAS
High	High	High	Low	High	High	High	High	Low	Low	Low	Low	High	High	Low	High	High	Low	ENSG00000026559	KCNG1
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	High	High	High	Low	High	High	High	ENSG00000026751	SLAMF7
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000028137	TNFRSF1B
High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000028277	POU2F2
High	High	High	High	High	High	High	High	High	Low	High	High	Low	Low	High	Low	Low	High	ENSG00000028839	TBPL1
Low	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	ENSG00000029153	ARNTL2
High	Low	High	High	Low	Low	High	High	High	High	High	High	High	Low	Low	Low	High	High	ENSG00000031003	FAM13B
Low	High	High	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	Low	Low	Low	ENSG00000031081	ARHGAP31
High	High	Low	Low	High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000031691	CENPQ
Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	High	Low	Low	High	High	ENSG00000032219	ARID4A
High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000032389	TSSC1
High	High	High	High	High	High	High	Low	Low	High	High	Low	High	Low	High	High	Low	High	ENSG00000033011	ALG1
Low	Low	High	High	Low	Low	Low	Low	Low	High	Low	High	Low	Low	Low	Low	Low	High	ENSG00000033327	GAB2
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000033800	PIAS1
High	High	High	High	Low	High	High	High	Low	High	Low	High	Low	High	High	Low	Low	Low	ENSG00000033867	SLC4A7
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	Low	Low	Low	Low	High	Low	ENSG00000034971	MYOC
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000036473	OTC
High	High	Low	High	Low	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	ENSG00000036549	ZZZ3
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	Low	ENSG00000036672	USP2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	High	High	High	High	Low	ENSG00000037280	FLT4
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	ENSG00000037637	FBXO42
Low	Low	High	High	Low	High	High	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000037749	MFAP3
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	Low	Low	Low	Low	Low	ENSG00000037965	HOXC8
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	Low	High	Low	Low	ENSG00000038382	TRIO
High	High	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	Low	Low	High	Low	ENSG00000038427	VCAN
High	High	High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000038532	CLEC16A
Low	Low	High	High	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000039068	CDH1
High	High	High	High	High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	High	ENSG00000039560	RAI14
High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	High	High	Low	High	Low	Low	ENSG00000040199	PHLPP2
Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000040608	RTN4R
High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000040933	INPP4A
High	High	Low	Low	High	High	High	High	Low	High	High	High	High	High	Low	High	High	High	ENSG00000041982	TNC
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000042088	TDP1
High	High	Low	Low	High	Low	Low	Low	High	High	High	Low	High	Low	High	Low	Low	High	ENSG00000043591	ADRB1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000044012	GUCA2B
High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000046653	GPM6B
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	High	ENSG00000047056	WDR37
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000047230	CTPS2
Low	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000047249	ATP6V1H
Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	Low	Low	Low	Low	Low	High	Low	ENSG00000047346	FAM214A
Low	Low	High	Low	Low	Low	Low	High	High	Low	Low	High	Low	Low	High	Low	Low	High	ENSG00000047457	CP
Low	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000047578	KIAA0556
Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	High	High	High	High	Low	Low	ENSG00000047597	XK
High	High	Low	High	High	High	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000047621	C12orf4
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000047644	WWC3
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000048342	CC2D2A
High	High	Low	High	High	High	High	High	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000048405	ZNF800
High	High	Low	Low	Low	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	ENSG00000048649	RSF1
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	Low	ENSG00000048707	VPS13D
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000048991	R3HDM1
Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000049089	COL9A2
High	High	Low	Low	Low	High	High	Low	Low	Low	Low	High	Low	High	High	High	High	High	ENSG00000049130	KITLG
Low	Low	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	ENSG00000049246	PER3
Low	Low	Low	Low	High	High	High	Low	High	High	High	High	High	Low	High	High	High	High	ENSG00000049283	EPN3
High	High	Low	Low	Low	Low	High	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000049323	LTBP1
High	High	High	High	High	High	High	High	Low	Low	High	High	Low	Low	High	Low	Low	Low	ENSG00000049449	RCN1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000049540	ELN
High	High	High	High	High	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000049618	ARID1B
Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	High	High	Low	Low	Low	High	ENSG00000049759	NEDD4L
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000049769	PPP1R3F
High	Low	Low	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000049883	PTCD2
Low	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000050344	NFE2L3
Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000051180	RAD51
Low	Low	High	High	Low	High	High	Low	Low	High	Low	Low	High	High	Low	Low	Low	Low	ENSG00000051382	PIK3CB
High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000051596	THOC3
Low	Low	Low	High	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000052126	PLEKHA5
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000052344	PRSS8
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	High	High	Low	High	Low	High	ENSG00000052795	FNIP2
Low	Low	Low	High	Low	Low	Low	Low	High	High	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000053254	FOXN3
Low	Low	High	Low	High	Low	High	High	High	Low	High	Low	High	High	High	High	High	High	ENSG00000053438	NNAT
Low	Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	High	Low	High	Low	ENSG00000053702	NRIP2
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000053747	LAMA3
Low	Low	Low	Low	High	High	High	High	High	Low	High	Low	High	High	High	High	High	High	ENSG00000054179	ENTPD2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000054219	LY75
High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000054267	ARID4B
High	High	High	High	High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	High	ENSG00000054277	OPN3
High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	High	ENSG00000054356	PTPRN
High	High	High	Low	High	High	High	High	High	High	High	High	Low	Low	High	High	High	Low	ENSG00000054598	FOXC1
Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	High	Low	High	High	High	Low	ENSG00000054654	SYNE2
Low	Low	High	High	High	High	Low	Low	Low	High	Low	Low	High	High	High	High	High	High	ENSG00000054690	PLEKHH1
High	High	High	High	Low	Low	Low	High	Low	High	Low	High	High	High	High	High	High	Low	ENSG00000054793	ATP9A
High	High	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000054965	FAM168A
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	Low	ENSG00000054967	RELT
Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	ENSG00000054983	GALC
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000055118	KCNH2
High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	High	Low	High	ENSG00000055163	CYFIP2
High	High	Low	High	High	High	High	High	High	High	High	Low	High	High	Low	High	High	Low	ENSG00000055609	KMT2C
