E055	E056	E059	E061	E057	E058	E028	E027	E104	E095	E105	E065	E085	E084	E109	E106	E079	E094	gene_id	gene_name
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000085840	ORC1
Low	Low	High	Low	High	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000085871	MGST2
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	High	High	Low	High	ENSG00000085978	ATG16L1
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000085999	RAD54L
High	High	High	High	High	High	High	Low	High	High	High	Low	High	High	Low	High	High	Low	ENSG00000086015	MAST2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000086205	FOLH1
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000086548	CEACAM6
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000086570	FAT2
Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	Low	Low	Low	High	Low	Low	High	ENSG00000086619	ERO1B
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000086696	HSD17B2
High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	Low	Low	High	ENSG00000086712	TXLNG
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000086848	ALG9
High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000087008	ACOX3
Low	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000087076	HSD17B14
Low	Low	High	Low	Low	Low	Low	High	High	Low	High	High	High	High	High	High	High	Low	ENSG00000087085	ACHE
High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000087116	ADAMTS2
High	High	Low	Low	High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000087206	UIMC1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000087250	MT3
Low	Low	High	High	High	High	High	High	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000087253	LPCAT2
High	High	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	High	Low	Low	Low	Low	ENSG00000087303	NID2
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000087494	PTHLH
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000087510	TFAP2C
High	High	High	High	High	High	Low	Low	High	High	High	Low	High	High	High	High	Low	High	ENSG00000087586	AURKA
Low	Low	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000087884	AAMDC
Low	High	High	High	High	High	High	Low	High	High	High	Low	High	Low	High	High	High	High	ENSG00000088280	ASAP3
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000088320	REM1
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000088325	TPX2
Low	High	High	High	Low	Low	Low	Low	High	Low	Low	High	Low	Low	Low	Low	High	High	ENSG00000088367	EPB41L1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000088386	SLC15A1
Low	Low	Low	Low	High	High	High	Low	Low	High	High	Low	High	High	Low	Low	High	Low	ENSG00000088387	DOCK9
High	High	High	High	High	Low	Low	Low	High	High	High	High	Low	High	High	High	High	High	ENSG00000088543	C3orf18
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000088726	TMEM40
Low	Low	Low	Low	High	High	Low	Low	High	High	High	Low	High	Low	High	High	High	High	ENSG00000088808	PPP1R13B
High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000088826	SMOX
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000088827	SIGLEC1
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000088836	SLC4A11
High	High	Low	High	Low	Low	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000088854	C20orf194
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000088876	ZNF343
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	High	High	High	High	Low	ENSG00000088882	CPXM1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	High	ENSG00000088992	TESC
High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	Low	Low	Low	High	ENSG00000089048	ESF1
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000089057	SLC23A2
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000089094	KDM2B
Low	Low	High	High	High	High	High	Low	High	Low	High	High	High	High	High	High	High	High	ENSG00000089127	OAS1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	High	High	High	High	High	High	ENSG00000089199	CHGB
High	High	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000089225	TBX5
Low	Low	High	High	High	High	High	High	High	Low	Low	High	High	High	High	High	High	High	ENSG00000089356	FXYD3
Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	High	High	High	High	High	Low	Low	ENSG00000089472	HEPH
Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000089682	RBM41
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000089685	BIRC5
Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	High	Low	ENSG00000089692	LAG3
Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000089723	OTUB2
High	High	High	High	High	High	High	High	Low	High	Low	Low	High	High	Low	Low	High	Low	ENSG00000089902	RCOR1
High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000089916	GPATCH2L
Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000090104	RGS1
High	High	Low	High	Low	Low	Low	High	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000090376	IRAK3
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000090382	LYZ
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	ENSG00000090402	SI
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000090447	TFAP4
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000090530	P3H2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	High	High	High	High	High	High	ENSG00000090539	CHRD
High	High	High	High	High	Low	Low	High	High	Low	High	High	Low	Low	High	High	High	High	ENSG00000090554	FLT3LG
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000090659	CD209
Low	Low	High	High	High	High	Low	High	Low	High	High	Low	High	High	Low	Low	High	High	ENSG00000090661	CERS4
High	High	Low	High	High	High	High	High	High	High	High	High	High	High	Low	Low	High	Low	ENSG00000090905	TNRC6A
Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000090932	DLL3
Low	Low	High	Low	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000090975	PITPNM2
High	High	High	High	Low	High	High	High	Low	High	Low	High	Low	Low	Low	Low	Low	High	ENSG00000091039	OSBPL8
High	High	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000091127	PUS7
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000091138	SLC26A3
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000091490	SEL1L3
High	High	Low	Low	High	High	High	Low	High	Low	High	Low	Low	Low	Low	High	High	Low	ENSG00000091592	NLRP1
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000091622	PITPNM3
Low	Low	Low	High	Low	Low	Low	High	Low	Low	Low	High	Low	High	Low	High	High	Low	ENSG00000091972	CD200
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000092054	MYH7
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	Low	ENSG00000092140	G2E3
High	Low	High	High	High	High	Low	High	Low	High	High	High	Low	Low	High	Low	Low	High	ENSG00000092208	GEMIN2
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	High	Low	Low	High	Low	ENSG00000092295	TGM1
Low	Low	High	High	Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000092421	SEMA6A
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000092470	WDR76
Low	Low	High	High	High	High	Low	Low	High	Low	High	Low	High	High	Low	High	High	Low	ENSG00000092529	CAPN3
Low	Low	Low	High	High	Low	Low	Low	High	Low	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000092758	COL9A3
High	High	High	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000092871	RFFL
Low	Low	High	Low	High	Low	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000092929	UNC13D
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000093009	CDC45
High	Low	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000093072	CECR1
Low	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000093217	XYLB
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000094804	CDC6
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000094963	FMO2
Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	High	High	Low	High	High	Low	ENSG00000095015	MAP3K1
Low	Low	Low	Low	High	High	Low	High	Low	High	High	Low	High	High	High	High	High	High	ENSG00000095066	HOOK2
Low	Low	Low	Low	Low	Low	High	Low	High	Low	Low	High	High	High	High	High	Low	High	ENSG00000095203	EPB41L4B
Low	Low	High	High	Low	Low	High	High	High	High	High	Low	High	High	High	Low	Low	Low	ENSG00000095209	TMEM38B
High	High	Low	Low	High	Low	High	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000095303	PTGS1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000095370	SH2D3C
High	High	High	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000095383	TBC1D2
Low	High	High	High	High	High	High	Low	High	Low	Low	High	High	High	High	High	Low	High	ENSG00000095539	SEMA4G
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	Low	High	High	High	High	High	ENSG00000095637	SORBS1
Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	High	High	ENSG00000095739	BAMBI
High	High	Low	Low	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000095752	IL11
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000095794	CREM
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000095932	SMIM24
Low	High	Low	Low	High	High	High	High	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	ENSG00000095951	HIVEP1
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	High	High	Low	Low	Low	Low	Low	High	ENSG00000095970	TREM2
High	Low	Low	High	Low	High	Low	High	Low	Low	Low	High	High	High	High	Low	Low	High	ENSG00000096654	ZNF184
High	High	High	High	High	High	High	High	Low	Low	High	Low	Low	Low	High	High	Low	Low	ENSG00000097021	ACOT7
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	High	High	High	High	High	Low	ENSG00000097046	CDC7
Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000099204	ABLIM1
High	High	Low	Low	High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	ENSG00000099250	NRP1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	Low	High	Low	ENSG00000099260	PALMD
Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	ENSG00000099282	TSPAN15
Low	Low	High	Low	High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	ENSG00000099284	H2AFY2
High	High	High	High	High	Low	High	Low	Low	Low	Low	High	High	High	High	High	High	Low	ENSG00000099308	MAST3
High	High	High	High	High	High	Low	Low	High	High	High	High	Low	Low	High	High	High	High	ENSG00000099385	BCL7C
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000099617	EFNA2
High	High	High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000099625	CBARP
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	Low	High	ENSG00000099769	IGFALS
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000099810	MTAP
Low	Low	High	Low	High	High	High	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000099812	MISP
Low	High	High	High	Low	Low	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000099822	HCN2
Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000099834	CDHR5
High	High	Low	Low	High	High	High	Low	High	High	High	High	Low	High	High	High	High	High	ENSG00000099840	IZUMO4
Low	Low	High	High	Low	Low	Low	High	High	High	High	Low	Low	High	High	High	High	High	ENSG00000099864	PALM
Low	Low	High	Low	High	Low	Low	High	High	High	High	High	High	High	High	High	Low	High	ENSG00000099889	ARVCF
High	High	High	High	Low	Low	Low	Low	High	High	High	Low	High	High	Low	Low	Low	Low	ENSG00000099953	MMP11
Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	ENSG00000099960	SLC7A4
High	High	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	High	High	High	High	ENSG00000099998	GGT5
Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	High	Low	Low	Low	High	ENSG00000100027	YPEL1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000100031	GGT1
Low	Low	High	Low	Low	Low	High	Low	High	High	High	High	High	High	High	High	High	Low	ENSG00000100033	PRODH
High	High	High	High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	ENSG00000100036	SLC35E4
Low	Low	Low	Low	High	High	High	High	High	High	High	High	Low	Low	High	High	High	High	ENSG00000100060	MFNG
Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	ENSG00000100078	PLA2G3
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000100079	LGALS2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	High	ENSG00000100121	GGTLC2
High	High	High	High	High	High	Low	High	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000100142	POLR2F
Low	Low	High	High	High	High	Low	High	High	Low	High	Low	Low	High	Low	Low	High	Low	ENSG00000100146	SOX10
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	ENSG00000100162	CENPM
Low	Low	High	High	Low	Low	High	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	ENSG00000100167	SEPT3
Low	Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	High	High	High	Low	Low	ENSG00000100170	SLC5A1
Low	Low	Low	Low	High	High	High	High	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000100197	CYP2D6
High	High	High	High	High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	Low	ENSG00000100207	TCF20
High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000100228	RAB36
High	High	Low	Low	High	High	Low	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	ENSG00000100285	NEFH
Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	ENSG00000100290	BIK
Low	Low	High	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	Low	ENSG00000100302	RASD2
Low	Low	Low	Low	High	High	High	High	High	High	High	High	Low	High	High	High	High	High	ENSG00000100311	PDGFB
High	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	ENSG00000100314	CABP7
High	High	High	High	High	Low	Low	High	High	High	High	High	Low	Low	Low	Low	High	High	ENSG00000100319	ZMAT5
High	High	High	High	High	Low	Low	Low	High	High	High	High	Low	High	High	High	High	Low	ENSG00000100321	SYNGR1
Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000100336	APOL4
Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	ENSG00000100342	APOL1
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000100344	PNPLA3
High	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	Low	High	Low	Low	ENSG00000100354	TNRC6B
Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	Low	Low	High	High	High	High	ENSG00000100365	NCF4
High	High	High	High	High	High	High	High	Low	Low	High	Low	Low	Low	High	Low	Low	High	ENSG00000100372	SLC25A17
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	High	ENSG00000100399	CHADL
Low	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000100479	POLE2
High	High	Low	High	High	High	High	Low	High	High	High	High	Low	Low	Low	High	High	High	ENSG00000100503	NIN
High	High	High	High	High	High	High	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	ENSG00000100504	PYGL
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	ENSG00000100526	CDKN3
Low	High	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	Low	High	ENSG00000100558	PLEK2
Low	Low	Low	Low	Low	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000100592	DAAM1
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000100599	RIN3
High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000100601	ALKBH1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000100604	CHGA
High	High	Low	Low	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000100625	SIX4
Low	Low	High	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	High	Low	ENSG00000100628	ASB2
High	High	High	High	High	High	High	High	High	High	Low	Low	High	High	Low	High	Low	Low	ENSG00000100731	PCNX1
Low	Low	Low	Low	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	ENSG00000100739	BDKRB1
Low	Low	Low	High	Low	Low	High	Low	High	Low	Low	Low	High	High	Low	High	High	Low	ENSG00000100767	PAPLN
Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000100890	KIAA0391
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	High	High	Low	Low	High	Low	High	ENSG00000100985	MMP9
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	ENSG00000101003	GINS1
High	High	High	High	High	High	Low	High	High	High	High	Low	Low	Low	High	High	Low	High	ENSG00000101019	UQCC1
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000101049	SGK2
High	High	High	High	High	High	High	High	Low	Low	Low	High	High	High	Low	Low	Low	High	ENSG00000101052	IFT52
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	ENSG00000101057	MYBL2
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	High	ENSG00000101076	HNF4A
High	High	Low	High	High	High	High	High	Low	Low	Low	Low	High	Low	Low	High	High	High	ENSG00000101104	PABPC1L
High	High	High	High	High	High	High	High	Low	High	Low	High	High	Low	High	High	Low	High	ENSG00000101109	STK4
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000101115	SALL4
Low	High	High	High	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000101187	SLCO4A1
High	High	High	High	Low	Low	Low	High	High	Low	High	High	High	High	Low	High	Low	High	ENSG00000101194	SLC17A9
High	High	High	Low	Low	Low	High	Low	High	High	High	High	Low	High	High	High	High	High	ENSG00000101210	EEF1A2
Low	Low	High	Low	High	High	Low	Low	Low	Low	Low	High	Low	Low	High	High	High	High	ENSG00000101213	PTK6
High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000101236	RNF24
Low	High	High	High	High	High	Low	High	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000101247	NDUFAF5
High	High	High	High	High	High	High	High	Low	Low	High	Low	Low	Low	High	High	High	High	ENSG00000101255	TRIB3
Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	High	High	High	High	High	ENSG00000101265	RASSF2
Low	Low	Low	Low	High	High	Low	Low	Low	High	High	Low	High	High	High	High	High	High	ENSG00000101276	SLC52A3
Low	High	High	High	High	Low	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	High	ENSG00000101298	SNPH
Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	Low	ENSG00000101311	FERMT1
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	Low	High	Low	ENSG00000101331	CCM2L
Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	High	Low	Low	ENSG00000101342	TLDC2
High	High	High	High	High	Low	High	Low	High	High	High	High	Low	Low	High	Low	High	High	ENSG00000101400	SNTA1
Low	Low	High	Low	Low	Low	Low	High	Low	Low	Low	High	High	High	High	Low	Low	High	ENSG00000101405	OXT
High	High	High	High	High	High	Low	Low	Low	Low	Low	High	High	High	High	High	High	High	ENSG00000101412	E2F1
High	High	High	High	High	High	Low	Low	High	High	Low	Low	High	High	High	High	High	High	ENSG00000101417	PXMP4
Low	Low	Low	Low	High	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	ENSG00000101443	WFDC2
High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	ENSG00000101447	FAM83D
Low	High	Low	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000101452	DHX35
High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000101464	PIGU
High	High	High	High	High	High	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000101493	ZNF516
High	High	High	High	Low	Low	High	High	Low	High	Low	High	High	High	High	High	High	High	ENSG00000101577	LPIN2
Low	Low	Low	Low	Low	Low	Low	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000101605	MYOM1
High	High	Low	High	Low	High	High	Low	Low	Low	Low	Low	High	High	Low	Low	Low	Low	ENSG00000101639	CEP192
Low	High	Low	Low	High	High	High	High	Low	Low	Low	Low	High	High	High	High	Low	Low	ENSG00000101670	LIPG
High	High	High	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000101680	LAMA1
Low	Low	Low	High	Low	Low	High	Low	Low	High	High	High	High	High	High	High	Low	Low	ENSG00000101695	RNF125
High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	Low	High	High	High	ENSG00000101745	ANKRD12
High	Low	Low	High	Low	High	High	High	High	Low	High	High	High	High	Low	Low	Low	High	ENSG00000101751	POLI
High	High	High	High	Low	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	High	ENSG00000101752	MIB1
Low	High	Low	Low	High	Low	Low	High	Low	Low	Low	Low	High	High	Low	High	High	High	ENSG00000101825	MXRA5
Low	Low	Low	High	Low	Low	High	Low	High	High	High	High	Low	Low	Low	Low	Low	High	ENSG00000101844	ATG4A
High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	ENSG00000101849	TBL1X
High	High	Low	High	High	High	High	High	Low	High	High	High	High	High	Low	Low	High	High	ENSG00000101901	ALG13
High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	High	High	High	High	ENSG00000101955	SRPX
Low	Low	High	High	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	ENSG00000102003	SYP
High	High	High	High	Low	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	ENSG00000102032	RENBP
High	High	High	High	High	High	High	High	High	Low	Low	High	Low	High	High	High	High	Low	ENSG00000102057	KCND1
Low	High	High	High	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	Low	Low	Low	ENSG00000102078	SLC25A14
Low	Low	High	Low	High	Low	High	High	High	Low	Low	Low	High	High	High	High	High	High	ENSG00000102109	PCSK1N
High	High	Low	Low	Low	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000102128	RAB40AL
High	High	High	High	High	Low	Low	Low	High	High	High	High	Low	Low	High	Low	High	Low	ENSG00000102181	CD99L2
High	High	Low	Low	Low	High	High	High	Low	High	Low	High	High	High	Low	Low	Low	Low	ENSG00000102189	EEA1
High	High	High	High	High	High	High	Low	High	High	High	Low	Low	Low	Low	Low	High	Low	ENSG00000102302	FGD1
Low	Low	Low	High	Low	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	High	Low	ENSG00000102349	KLF8
High	High	Low	Low	Low	Low	Low	Low	Low	High	High	High	Low	Low	Low	High	High	High	ENSG00000102359	SRPX2
Low	High	High	Low	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	ENSG00000102384	CENPI
High	High	Low	High	Low	High	High	High	Low	High	High	High	High	High	High	Low	Low	High	ENSG00000102531	FNDC3A
High	High	High	High	High	High	High	High	High	High	High	Low	High	High	Low	High	Low	Low	ENSG00000102606	ARHGEF7
